doc_index,content,tokens,url
procedures-300-appendix-b_11_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 3) Was the event witnessed? If so, by whom? 4) Who else was around the child? Who else has had access to the child (E.g. babysitters, daycare, grandparents, school, etc.)? 5) If applicable, what did the injury look like when first noticed? c) Take me through the two to three days prior to the injury in detail. 1) Any medical symptoms? 2) Tell me the child’s feeding/drinking habits in the past 2-3 days 3) Tell me the child’s sleeping habits in the past 2-3 days 4) Tell me the child’s activity level/activities in the past 2-3 days d) What did you do first when you noticed the injury? Did you seek any assistance or advice? If so, from whom? e) What did you do for treatment of the injury? f) Name all of the caregivers for the child in the past 2 weeks who had alone time with the child, and please describe the timeframes of their caregiving. g) Did you have concerns about your child’s safety with any of those named above? iv) Reenactment Can you reenact the incident? D) Interview in person and individually all other adults and verbal children in the alleged child victim’s household. Non-verbal children must be thoroughly observed and assessed. Illinois Department of Children and Family Services",314,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_12_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 E) Conduct an interview with the alleged perpetrator in person and individually. The Child Protection Specialist should consult with law enforcement prior to the interview to avoid compromising any criminal investigation. F) Notify the custodial parent or legal caregiver of a child involved in the investigation of a facility or caregiver other than the parent. This includes the DCFS Guardianship Administrator if the child is a youth in care. G) Notify and interview the non-custodial parent. H) Interview in person and individually all other adults and verbal children in the alleged perpetrator’s household. Non-verbal children must be thoroughly observed and assessed. I) Interview all identified witnesses that are reported to have information of the alleged incident. J) Law enforcement shall be notified verbally and in writing (CANTS 14) within 24 hours of receipt of the report if necessary. K) Notify the State’s Attorney verbally and in writing within 24 hours of receipt of the report if necessary. L) Interview the alleged child victim’s primary medical provider as well as any other medical providers that have treated the alleged child victim within the past twelve (12) months. M) If the police have conducted an investigation, interview the police source in person or by telephone. DCFS and local law enforcement should cooperate in conducting investigations. N) Interview paramedics called to the scene. O) Interview hospital personnel with information if the alleged child victim was transported to a hospital for treatment. P) Interview the DCFS or private agency worker if the family has an open service case or a service case that was closed. Note: If a pregnant or parenting youth in care is the subject of a pending and/or indicated investigation, Teen Parent Service Network must be notified. Illinois Department of Children and Family Services",371,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_13_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 Q) For those children enrolled in school or daycare, interview the children’s school teachers, other school personnel and/or child care providers that have knowledge of the children and/or the level of care provided to the children. R) Interview other professional collaterals who may have information of the alleged child victim’s injury that may be pertinent to the investigation. S) The family or subjects should be asked to identify at least two (2) collateral contacts who must be interviewed either by telephone or in person. T) Verbally notify and interview the Guardian ad Litem if the alleged child victim is a DCFS youth in care or a ward of the court (E.g., a child home with a parent under an order of protection). U) Interview child protective services in other states where subjects of the report have resided. V) Interview the DCFS nurse if the nurse has had prior involvement with the family. W) Interview any social service professionals who have or had involvement with or knowledge of the alleged child victim and/or family. X) A waiver of any of the above requirements must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. 2) Required Activities All investigative activities must be documented in a contact or case note within 48 hours. A) Complete a person search/CANTS 19 and within 48 hours request a LEADS check of household members and other subjects regularly frequenting or living in the home. The Child Protection Specialist shall review LEADS for all subjects, including those involved in the safety assessment. B) When assigned an SOR of a pending investigation, contact and confer with the Child Protection Specialist of the pending investigation. C) Thoroughly read and review prior indicated and, if available, unfounded investigations. Illinois Department of Children and Family Services",402,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_14_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 D) Observe and photograph the environment where the alleged harm occurred and create a timeline. In addition to observing the environment, conduct a scene investigation, per Procedures 300.60, Scene Investigation. E) A medical examination must be completed if required for the allegation and/or if injuries are observed or the alleged child victim reports pain and/or injury. The Child Protection Specialist shall request that the treating physician or nurse photograph the injuries and complete a body diagram supplied by the hospital or use the CANTS 2A/B. F) When a second medical opinion is needed, refer to Procedures 300.100 Medical Requirements for Reports of Child Abuse and Neglect. G) Obtain medical documentation that the injury/harm will have immediate and/or long-term health effects on the alleged child victim. H) Obtain the alleged child victim’s medical records of his or her current treatment/diagnosis and relevant past treatment. I) Whether or not the alleged child victim’s medical needs are related to the alleged incident, Child Protection Specialists must take the following actions when it is suspected that the alleged child victim is in need of medical care. i) Request that the parents seek immediate medical attention for their child who is the alleged child victim. Contact the alleged child victim’s physician within 24 hours after seeing the alleged child victim to confirm that the alleged child victim has received medical care. The Child Protection Specialist should accompany the alleged child victim to the medical provider, if possible. If the Child Protection Specialist is not able to accompany the alleged child victim to the medical provider, he/she must contact the medical provider or facility to alert them that the alleged child victim is coming and why the alleged child victim is being seen by the medical provider. ii) If the parent refuses or does not obtain medical assistance for the child, the Child Protection Specialist must immediately consult with his or her supervisor or Area Administrator to determine if the alleged child victim should be taken into temporary protective custody to provide medical care. (See Procedures 300.100(c)(2)(B)) iii) Call law enforcement for assistance, if necessary. Illinois Department of Children and Family Services",447,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_15_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 J) When the police have investigated the injury/harm to the alleged child victim, the completed investigation by the police should be obtained and documented. If the police report is not available, use a contact note to document that the report has been requested and to include any verbal statements given by the police. Child Protection Specialists must also inquire about and document efforts to obtain other law enforcement reports on the subjects under investigation. Note: Every effort should be made to coordinate investigative activities with local law enforcement. K) The Child Protection Supervisor must review all police reports to ensure the reported findings do not conflict with previously documented information received verbally. L) For all investigations where law enforcement is involved, a conference with Child Protection staff, DCFS Legal (if appropriate), the State’s Attorney and law enforcement shall be convened to discuss the recommended finding. The Child Protection Specialist shall document the discussion of this conference in a contact note. M) When there has been a prior indicated finding for serious abuse or a prior arrest or conviction of child endangerment or battery to a child, or domestic battery and the parent/caregiver continues to permit the alleged perpetrator/abuser to have access to the alleged child victim, the Child Protection Specialist must attempt to secure the full investigative file from law enforcement prior to closing the investigation. N) If multiple possible perpetrators are identified, document the evidence that pertains to each possible perpetrator. O) Complete the Domestic Violence and Substance Abuse screens on all eligible subjects. The Paramour Checklist is to be completed if the case is identified as a Paramour case. Note: In cases where an arrest has been made for domestic violence, the Child Protection Specialist must contact pretrial services to determine bail conditions. P) If there is an open intact or placement service case and/or there are concurrent investigations, the Child Protection Specialist shall convene a conference for the purpose of reviewing the pending investigation with all professionals involved, including but not limited to, DCFS legal, law enforcement, the State’s Attorney office, medical professionals, and Illinois Department of Children and Family Services",435,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_16_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 DCFS/POS staff. The conference should include, but not be limited to, a discussion to ensure the ongoing safety of the alleged child victim(s) without jeopardizing the criminal investigation prior to closure of the investigation. The Child Protection Specialist shall document the discussion of this conference in a contact note. Q) A waiver of any of the above requirements must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. 3) Required Documentation A) All documented medical diagnoses that are related to the injury/harm. Any medical records concerning the alleged child victim’s current treatment/diagnosis and relevant past treatment must be obtained. B) If police involvement, police investigation case findings and reports generated by the police, as well as law enforcement photographs of the alleged child victim’s injuries and scene or other relevant evidence. If the police report is not available, use a contact note to document that the report has been requested and to include any verbal statements given by the police. The Child Protection Specialist must also inquire about and document efforts to obtain other law enforcement reports on the subjects under investigation. The Child Protection Specialist must make every effort to obtain the police report prior to closing the investigation. C) Evidence that identifies the most likely perpetrator. If multiple, possible perpetrators are identified, document evidence that pertains to each possible perpetrator. D) Documentation that all the LEADS reports were reviewed to determine the impact on safety and the final finding. E) Documentation that all other required contacts have been made. If a contact has not been made, there are documented reasons for the situation. F) Documentation of detailed, descriptive explanatory statements of the incident provided by the alleged perpetrator, victim, witnesses, and any other persons with knowledge of the injury/harm. G) A waiver of any of the above requirements must be approved by the Child Protection Supervisor and may require approval by the Area Administrator. Details of the request and the Supervisor’s decision must be documented in a supervisory note. Illinois Department of Children and Family Services",444,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_17_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 4) Assessment of Factors and Evidence to Determine a Final Finding A) Documentation of a detailed analysis of all inculpatory and exculpatory evidence has been gathered, reviewed and considered and any conflicting evidence has been resolved to the extent possible. B) The Child Protection Specialist and Child Protection Supervisor shall have a formal supervisory conference to assess all inculpatory and exculpatory evidence obtained during the course of the investigation to reach an investigative finding. Document the supervisory contact in a supervisory note. i) Retention Schedule Identifying information contained in indicated reports is retained in the State Central Register for 5, 20 or 50 years, depending on the allegation. If there are multiple indicated allegations in a report, all of the allegations will be retained for the longest length of time assigned to an allegation in that report. See Procedures 300, Subsection 300.150(c) for the schedule of case retention for indicated allegations as well as the retention schedule of unfounded reports. j) References Definitions of the allegations were taken in part from: Taber's Cyclopedic Medical Dictionary. Edited by Clayton L. Thomas. M.D., M.P.H., Philadelphia: F.A. Davis Company, 1981. Interdisciplinary Glossary on Child Abuse and Neglect: Legal, Medical, Social Work Terms, Washington, D.C.: U.S. Government Printing office, 1978. Illinois Department of Children and Family Services",318,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_18_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 This page intentionally left blank. Illinois Department of Children and Family Services",36,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_19_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 Some of the allegations below contain suggested questions that the Child Protection Specialist should ask during the course of the investigation. The suggested questions are part of the information gathering for the investigation. The Child Protection Specialist is still required to gather and consider all inculpatory and exculpatory evidence prior to making a final finding. Allegation of Harm #1/51 DEATH a) Definition Death: the permanent cessation of all vital functions. The following definitions of death are also commonly used: 1) Total irreversible cessation of cerebral function, spontaneous function of the respiratory system, and spontaneous function of the circulatory system; and 2) The final and irreversible cessation of perceptible heartbeat and respiration. b) Taking a Report 1) The reporter/source has reason to believe that the child’s death resulted from the following: i) A direct action of the parent, caregiver, immediate family member, other person residing in the home, the parent’s paramour, or other person responsible for the child’s welfare (ABUSE); ii) The failure of the parent, caregiver, immediate family member, other person residing in the home, the parent’s paramour, or other person responsible for the child’s welfare to make reasonable efforts to stop an action by another person that resulted in the child’s death (ABUSE); or iii) Blatant disregard of parental/caregiver responsibilities that resulted in the child’s death (NEGLECT). “Blatant disregard” means an incident where the real, significant, and imminent risk of harm would be so obvious to a reasonable parent or caretaker that it is unlikely that a reasonable parent or caretaker would have exposed the child to the danger without exercising precautionary measures to protect the child from harm. 325 ILCS 5/3. Illinois Department of Children and Family Services Procedures 300.Appendix B",396,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_20_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 2) When taking a report involving the death of a child, allegations #10 Substantial Risk of Physical Injury or #60 Environment Injurious are applicable only to surviving siblings or other children residing in the home and shall not be assigned to the deceased child. c) Investigating a Report 1) Required Contacts All contacts and attempted contacts must be documented in a contact note within 48 hours. A) Conduct immediate individual and in-person interviews with surviving siblings and other children that lived or were temporarily staying in the environment in which the child died. Complete a safety assessment (CERAP) within 24 hours. Interviews should be conducted using the Forensic Interview protocol. Non-verbal children must be thoroughly observed and assessed. If there are additional children in the home that were not listed on the report, they must be added to the report, assigned an allegation as necessary, and their safety and trauma/grief therapy needs must be assessed. The Child Protection Specialist shall evaluate the need for grief therapy for all family members. Note: A child death, in and of itself, may not require removal of surviving children from the home. Note: If other children in the home are considered to be at risk, they should be asked if he/she knows an extended family member, another adult or caretaker that he or she feels safe with or important or special to. Persons identified by the other children in the home shall be interviewed. B) Notify and interview the alleged child victim’s primary medical provider as well as any other medical providers that have treated the alleged child victim within the past twelve (12) months. If multiple medical providers are identified, the Child Protection Specialist shall share all information provided with the Primary Care Physician. Illinois Department of Children and Family Services Procedures 300.Appendix B",381,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
